exp_id	project_name	config_name	category	date	duration	HWAT	RHOO	HOIL	USG	nom_usg	inclination	WC	H	DPDX_FRIC	TIN	PMID	nom_usw	INCL	USW	nom_temp	nom_press	RHOW	HGAS	RHOG	DPDX	USL	HLIQ	PIN	nom_uso	USO
7333	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:24.767371Z		6.006359664934543	810	0	4.289867515957576	4.25	60	100	6.006359664934543	286.68959653121976	19.016060560345647	8.015392263263463	0	60	0.07176842768641238	19	8.25	998	93.99364033506546	48.55926530049936	1183.7183192797786	0.07176842768641238	6.006359664934543	8.142335012972357	0	0
7334	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:25.777446Z		7.252826876041536	810	0	3.500227562522819	3.5	60	100	7.252826876041536	239.87493004112207	18.65007524192333	8.00763084167242	0	60	0.07086495407175061	18.75	8.25	998	92.74717312395846	48.51016965208306	1237.0589962463089	0.07086495407175061	7.252826876041536	8.140028221964837	0	0
7335	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:26.822547Z		8.633882006142938	810	0	2.859577706443285	2.75	60	100	8.633882006142938	208.39049391533513	19.590346280038354	8.010112435162068	0	60	0.07098176925015727	19.5	8.25	998	91.36611799385706	48.525867219861176	1317.100455856682	0.07098176925015727	8.633882006142938	8.14849485760927	0	0
7336	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:27.791704Z		10.711367891966164	810	0	2.141061073092348	2.25	60	100	10.711367891966164	174.81546965630832	19.56628117710352	8.012522499412299	0	60	0.07084758995117944	19.5	8.25	998	89.28863210803384	48.54111232228244	1451.2205641127628	0.07084758995117944	10.711367891966164	8.16247488591075	0	0
7337	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:28.786929Z		0	810	1.0309432093818514	8.5714400766289	8.5	60	0	1.0309432093818514	338.6041032187968	22.20946428775787	8.005029198795558	0	60	0	22.25	8	998	98.96905679061815	48.49371269990118	817.2898267425895	0.0210487392507851	1.0309432093818514	8.094164209187031	0	0.0210487392507851
7338	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:29.996904Z		0	810	1.7807129983115122	6.429017007970704	6.5	60	0	1.7807129983115122	177.70424367942996	20.272595157325267	7.95486303794384	0	60	0	20.25	8	998	98.21928700168849	48.17638163281755	702.2486481667443	0.021031904057509015	1.7807129983115122	8.035681234210731	0	0.021031904057509015
7339	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:30.927130Z		0	810	3.7572375561043656	4.288830590037085	4.25	60	0	3.7572375561043656	86.42524435851442	19.050072877109052	7.92324051991105	0	60	0	19	8	998	96.24276244389563	47.97635023274934	737.2593446258415	0.021009229253538042	3.7572375561043656	8.006648428171873	0	0.021009229253538042
7340	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:31.898229Z		0	810	5.8148463344394825	3.498511768925961	3.5	60	0	5.8148463344394825	56.901877511530415	18.455324063897134	7.909174743920564	0	60	0	18.5	8	998	94.18515366556052	47.887375760143925	840.2322105922427	0.021019139675222797	5.8148463344394825	8.000229490220544	0	0.021019139675222797
7341	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:32.870023Z		0	810	7.980532163089536	2.859158080518947	2.75	60	0	7.980532163089536	59.162574004786734	18.146678442955015	7.90526666805148	0	60	0	18.25	8	998	92.01946783691047	47.86265483542644	982.5210301962446	0.021025466033611488	7.980532163089536	8.006316274344922	0	0.021025466033611488
7342	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:33.890095Z		0	810	12.005649629734044	2.1386733632261974	2.25	60	0	12.005649629734044	40.72971733837562	17.99590846478939	7.9143923913836485	0	60	0	18	8	998	87.99435037026595	47.920380510936404	1225.1419366083653	0.02100115207580333	12.005649629734044	8.039790336310862	0	0.02100115207580333
